cshom,prccm,tic
50440000.0,72.15,NWE
4494343000.0,47.32,WFC
1862564000.0,51.04,NVO
304786000.0,55.1,NUE
,0.0,USAE
491000.0,0.875,HZHI
776000.0,19.0,OPST
19115000.0,23.0,NEWT
748020000.0,50.28,OXY
9366000.0,3.29,OBCI
98928000.0,20.39,OII
,0.004,OCEX
38765000.0,5.17,ITI
35919000.0,0.0953,BRSWQ
887000.0,10.26,OART
531442000.0,42.81,FE
5351000.0,34.04,ODC
200175000.0,42.56,OGE
164860000.0,21.91,OLN
19685000.0,28.96,OLP
412756000.0,68.81,OKE
4485000.0,5.61,ORBT
,0.0,OMDD
39755000.0,52.81,OTTR
8250000.0,0.043,OUTB
85293000.0,1.88,OSG
62936000.0,3.2,OMI
108570000.0,58.2,OC
155231000.0,17.27,OI
17019000.0,75.8,OXM
3166000.0,8.32,PFIN
451438000.0,137.28,PNC
236102000.0,116.71,PPG
346443000.0,71.66,PCAR
529213000.0,22.92,PCG
,2.54,UWN
274413000.0,137.44,SRE
17722000.0,8.59,SMM
1770000.0,6.75,PTTTS
16253000.0,28.2,PAR
56577000.0,32.15,PDI
520000.0,37.47,PARF
20492000.0,16.69,PKE
12632000.0,32.59,PKOH
86493000.0,0.0573,ECORF
86493000.0,0.07,ERA.
15045000.0,20.28,PKDC
128285000.0,170.01,PH
23846000.0,49.19,PATK
12302000.0,12.99,GDP
359300000.0,82.29,PAYX
,47000.0,PKMS
89687000.0,102.47,AFG
15106000.0,30.68,ROCC
316817000.0,1.14,CPPRQ
721742000.0,31.01,PPL
77384000.0,6.5,PRETQ
171892000.0,37.2,PNR
1401822000.0,131.13,PEP
50180000.0,13.87,TPC
46609000.0,6.09,PBT
5136000.0,0.034,DFCO.2
66283000.0,36.06,PDCE
12920000.0,0.1218,PHIKQ
2906000.0,0.7,PHIIQ
1331000.0,0.02,PTRO
5559929000.0,43.32,PFE
970955000.0,47.94,EXC
215739000.0,41.37,WTRG
13800000.0,56.98,WTRU
1870920000.0,47.35,MO
216056000.0,24.82,PHI
935275000.0,43.58,PHG
1130176000.0,61.0,COP
,,PLP.Z
74913000.0,94.64,PVH
4237000.0,7.53,PIRRQ
1875000.0,27.87,SENEB
7605000.0,27.83,SENEA
23495000.0,21.47,AGYS
14228000.0,74.27,PIPR
180726000.0,4.28,PBI
1870000.0,5.8,PW
39520000.0,37.04,POLY
1252300000.0,3.88,KGC
1252300000.0,5.06,K.
10000.0,800.0,SKTP
5299000.0,2.5083,IPDN
3380000.0,1.1,POLXF
1126000.0,8.0,PLYR
67588000.0,38.98,PCH
11553000.0,38.0,POWL
376623000.0,21.5177,PWCDF
376623000.0,28.21,POW.
4746000.0,0.0124,PDNLB
443000.0,0.35,PDNLA
2508330000.0,109.65,PG
79654000.0,50.91,PNM
505430000.0,58.82,PEG
,,PUSH
277137000.0,31.62,PHM
23802000.0,10.6,PCYO
15633000.0,40.56,AGX
13334000.0,202.88,KWR
64814000.0,19.9,NXGN
14240000.0,5.5,ASYS
35553000.0,2.65,QMCO
,,QBCAF
77247000.0,31.5,QBR.A
178670000.0,23.5863,QBCRF
178670000.0,31.19,QBR.B
12755000.0,4.0,RCMT
140400000.0,84.55,RJF
215141000.0,7.21,RES
131075000.0,61.11,RPM
5612000.0,80.0,USLM
36026000.0,35.88,RAVN
278541000.0,173.88,RTN
10007000.0,0.001,RAGL
9324000.0,1.52,IHT
42818000.0,81.71,RRX
39327000.0,16.6,RGS
49890000.0,2.1595,RTMAF
49890000.0,2.82,RET.A
,1.8,RTMNF
13440000.0,2.8,RET.
16915000.0,0.036,RLBY.1
89209000.0,41.94,AN
66956000.0,0.15,CLOQ
10957000.0,5.6,RELL
,,3RELLB
744912000.0,9.987,RICOY
,0.0201,DSVTF
4961000.0,8.57,RSKIA
53829000.0,8.01,RADCQ
8045000.0,30.52,RGCO
118362000.0,163.83,ROK
401494000.0,53.52,RCI
401494000.0,70.1,RCI.B
111155000.0,54.52,RCIAF
111155000.0,69.99,RCI.A
18547000.0,172.58,ROG
327530000.0,35.87,ROL
364696000.0,99.12,ROST
65520000.0,102.49,RGLD
22148000.0,0.0015,KIDBQ
53300000.0,58.3,R
152520000.0,56.1,SEIC
1695000.0,1.9,PGNT
28435000.0,60.77,SJW
384715000.0,0.0632,PVCT
14579000.0,48.33,SBR
888000.0,53.0,SADL
20577000.0,12.07,SFES
5793000.0,17.5,ARHN
44000.0,319.95,NSYC
46609000.0,3.83,SJT
1385122000.0,39.74,SLB
33557000.0,33.24,SCHL
104374000.0,0.0056,LTTC
2979000.0,0.15,TRTI
1494000.0,4.5,SCND
217233000.0,0.58,SCIXF
999000.0,210.0,SCPJ
12422000.0,1.48,SLGD
1167000.0,4136.74,SEB
81684000.0,5.0,APPS
65196000.0,0.05,LPTC
155704000.0,42.78,SEE
206500000.0,0.0101,SEIL
8737000.0,23.36,IIN
66677000.0,48.05,SMTC
182242000.0,46.78,SCI
2581000.0,9.6,SVT
70136000.0,13.45,MTTRF
70136000.0,18.32,MATR.
49831000.0,38.52,SHEN
92316000.0,458.29,SHW
5773000.0,2.89,SIF
